"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"2" ,0.407,0.424,0.483,11.36,27.31,3.87,18.85,2.12,0.076,0.036,-0.03,2.16,0.394,0.394,0.460,0.489,-0.03,0.05,3.76,11.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"3" ,0.483,0.510,0.561,9.89,23.67,3.36,16.42,1.84,0.077,0.035,2.16,0.12,0.460,0.489,0.563,0.564,0.05,0.12,0.93,9.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"4" ,0.573,0.591,0.644,60.25,64.23,9.11,100.00,4.98,0.071,0.015,1.73,0.65,0.563,0.564,0.651,0.664,0.14,0.21,1.89,60.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"5" ,1.114,1.168,1.294,32.00,94.33,13.37,53.12,7.31,0.180,0.045,-0.19,-0.03,1.104,1.109,1.324,1.331,-0.19,-0.03,1.56,31.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"6" ,3.077,3.200,3.357,30.22,181.19,25.69,50.16,14.05,0.279,0.094,-0.85,-0.48,3.064,3.066,3.364,3.366,-0.85,-0.48,1.22,29.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"7" ,3.375,3.494,3.620,30.00,165.17,23.42,49.79,12.81,0.244,0.087,-0.52,-0.74,3.364,3.366,3.627,3.630,-0.52,-0.74,1.05,29.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"8" ,3.759,3.811,3.888,2.45,8.25,1.17,4.07,0.64,0.129,0.054,-1.17,-1.56,3.751,3.757,3.913,3.919,-1.17,-1.56,1.00,1.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"9" ,6.656,6.869,8.000,28.26,705.40,100.00,46.90,54.69,1.344,0.408,-1.85,-0.27,6.654,6.656,7.999,8.000,-1.93,-0.27,3.90,26.59,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d"," DAD1 - B:Sig=260,4  Ref=360,60 10_A9.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\10_A9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
