"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,3.207,3.289,3.322,4.35,13.88,3.01,3.60,0.81,0.115,0.051,45.70,46.50,3.166,3.223,3.313,3.322,45.69,45.69,0.52,50.05,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,3.322,3.354,3.387,6.38,14.03,3.05,5.27,0.82,0.065,0.033,46.50,47.30,3.313,3.322,3.379,3.387,45.69,45.69,0.80,52.08,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"13" ,3.387,3.420,3.436,11.33,22.42,4.86,9.36,1.31,0.049,0.047,47.30,52.77,3.379,3.387,3.436,3.444,45.69,45.69,0.60,57.02,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"14" ,3.436,3.461,3.510,9.56,25.92,5.63,7.90,1.51,0.074,0.049,52.77,47.13,3.436,3.444,3.502,3.510,45.69,45.69,2.00,55.26,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"15" ,3.510,3.543,3.616,6.00,17.26,3.75,4.95,1.01,0.106,0.041,47.13,46.28,3.502,3.510,3.616,3.624,45.69,45.69,1.77,51.69,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"16" ,3.616,3.706,3.853,1.46,8.11,1.76,1.21,0.47,0.237,0.073,46.28,45.79,3.616,3.624,3.828,3.902,45.69,45.69,1.25,47.15,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"17" ,3.877,3.934,3.999,9.98,21.11,4.58,8.25,1.23,0.122,0.031,45.79,46.00,3.828,3.902,4.032,4.056,45.69,45.69,1.25,55.68,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"18" ,4.056,4.089,4.154,12.95,27.13,5.89,10.70,1.58,0.098,0.031,45.82,46.13,4.032,4.056,4.235,4.284,45.69,45.69,1.25,58.64,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"19" ,4.284,4.325,4.398,7.20,15.70,3.41,5.95,0.92,0.114,0.031,45.70,46.12,4.235,4.284,4.382,4.406,45.69,45.69,1.39,52.90,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"20" ,4.398,4.438,4.511,4.94,11.09,2.41,4.08,0.65,0.114,0.032,46.12,45.80,4.382,4.406,4.600,4.633,45.69,45.69,1.27,50.64,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"21" ,4.682,4.755,4.820,9.72,20.84,4.52,8.02,1.22,0.138,0.031,45.75,45.98,4.673,4.690,4.852,4.876,45.69,45.69,1.28,55.41,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"22" ,4.925,4.957,5.022,8.38,16.30,3.54,6.92,0.95,0.097,0.030,45.69,45.96,4.917,4.925,5.022,5.030,45.69,45.69,1.24,54.07,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"23" ,5.030,5.079,5.144,16.67,48.47,10.52,13.77,2.83,0.114,0.052,45.87,47.61,5.022,5.030,5.136,5.144,45.69,45.69,1.58,62.37,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"24" ,5.144,5.177,5.258,6.98,22.71,4.93,5.77,1.33,0.114,0.051,47.61,46.04,5.136,5.144,5.250,5.258,45.69,45.69,1.55,52.68,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"25" ,5.258,5.291,5.356,11.51,24.23,5.26,9.51,1.42,0.098,0.031,46.04,46.00,5.250,5.258,5.364,5.372,45.69,45.69,1.22,57.21,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"26" ,5.372,5.405,5.510,14.46,35.88,7.79,11.94,2.10,0.138,0.031,45.86,45.81,5.364,5.372,5.519,5.551,45.69,45.69,1.85,60.15,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"27" ,5.535,5.624,5.641,24.85,50.44,10.95,20.52,2.95,0.106,0.037,45.73,56.78,5.519,5.551,5.649,5.649,45.69,45.69,0.60,70.54,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"28" ,5.641,5.649,5.706,11.99,35.19,7.64,9.90,2.06,0.065,0.056,56.78,51.42,5.641,5.641,5.698,5.706,45.69,45.69,7.02,57.69,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"29" ,5.706,5.747,5.869,14.41,47.50,10.31,11.90,2.77,0.163,0.052,51.42,45.83,5.698,5.706,5.861,5.869,45.69,45.69,1.06,60.10,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"30" ,5.960,6.033,6.066,13.31,45.42,9.86,10.99,2.65,0.107,0.068,45.73,49.53,5.951,5.960,6.066,6.075,45.69,45.69,0.60,59.00,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"31" ,6.066,6.140,6.157,14.63,47.93,10.40,12.09,2.80,0.090,0.094,49.53,54.93,6.066,6.075,6.190,6.190,45.69,45.69,0.67,60.33,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"32" ,6.157,6.215,6.289,12.13,75.83,16.46,10.02,4.43,0.132,0.096,54.93,50.52,6.190,6.190,6.289,6.297,45.69,45.69,3.33,57.83,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"33" ,6.289,6.322,6.363,16.78,49.53,10.75,13.86,2.89,0.074,0.097,50.52,54.39,6.289,6.297,6.396,6.396,45.69,45.69,2.27,62.47,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"34" ,6.363,6.446,6.488,23.71,113.34,24.60,19.58,6.62,0.125,0.080,54.39,62.90,6.396,6.396,6.488,6.496,45.69,45.69,1.01,69.40,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"35" ,6.488,6.504,6.537,19.12,50.86,11.04,15.79,2.97,0.050,0.058,62.90,59.04,6.488,6.496,6.537,6.546,45.69,45.69,2.50,64.81,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"36" ,6.537,6.587,6.728,23.90,186.21,40.41,19.74,10.88,0.190,0.148,59.04,50.86,6.537,6.546,6.728,6.736,45.69,45.69,3.00,69.59,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"37" ,6.728,6.753,6.902,6.41,26.74,5.80,5.29,1.56,0.174,0.069,50.86,45.75,6.728,6.736,6.885,6.902,45.69,45.69,4.06,52.10,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"38" ,6.902,6.985,7.084,2.67,15.30,3.32,2.20,0.89,0.182,0.110,45.75,45.81,6.885,6.902,7.076,7.084,45.69,45.69,0.97,48.36,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"39" ,7.440,7.507,7.623,2.69,7.85,1.70,2.22,0.46,0.182,0.045,45.82,45.74,7.391,7.432,7.606,7.623,45.69,45.69,2.31,48.39,,,  ,393.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (509.0 -> 377.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
